domain,phones,status
fishki.ua,+380632264633,ok
hillary.ua,+380800750149,ok
dim-sb.com,+380500507090,ok
profiline.ua,+380506798555;+380966798555;+380636798555,ok
zhaba-igor.com,+380960549620,ok
supersumka.net,+380933890109,ok
aqua-life.ua,+380963411116;+380663411116;+380443442696,ok
posters.md,+37379711666;+37369204920,ok
alp.com.ua,+380673788777,ok
coffeetrade.ua,+380932020220;+380932756211;+380730491417;+380930152578;+380445830797,ok
milkyvape.shop,+380680078096,ok
zolotoy-standart.com.ua,+380443448105;+380968910880;+380937410880;+380956410880,ok
chernomor-cosmetics.ua,+380674444877,ok
lantale.com.ua,+380673336789,ok
mebelopt.ua,+380978921060;+380637084818,ok
worldvision.com.ua,+380959472050;+380674455206,ok
brooklet.com.ua,+380673532882,ok
amador.com,,no_phones
inoxstore.com.ua,+380731592011;+380984399713,ok
medtehnikalife.com.ua,+380674855185;+380955633887,ok
beerfreak.org,+380986455991,ok
technonicol.com.ua,,no_phones
grossmeister.com.ua,+380737234455,ok
wookie.com.ua,+380683615939;+380504753113;+380634510296;+380442226869,ok
franke-partner.com.ua,,no_phones
sens.in.ua,+380935044070;+380630357626;+380630357624;+380667657742,ok
koffer.ua,+380968130606;+380502083737,ok
modeland.com.ua,+380962570898;+380664215354,ok
solar.biz.ua,+380800358613,ok
svitparketu.com.ua,+380931700851,ok
soundstore.com.ua,+380939190903;+380679190903,ok
filmexpro.ua,+380954445575;+380974445575;+380934445575,ok
lanota.com.ua,+380800334750;+380735580404;+380955580404;+380985580404,ok
flash-skate.com.ua,+380987989692;+380930776041;+380664580194,ok
tovarystvo-kraftu.com,+380930181969,ok
cartools.com.ua,+380669588080;+380974648080;+380635228080,ok
ponova.com.ua,+380994607070;+380984607070;+380443347280,ok
knyharnia.eu,+48451539900;+48576962911,ok
edem-textile.com.ua,+380800339657,ok
poteshki.com.ua,+380957717723;+380687717723;+380937717723,ok
velopodium.com.ua,+380980235717;+380997376248,ok
lordofboards.com.ua,+380639418090;+380689418090,ok
in-green.com.ua,+380442329075;+380675698228;+380931700789;+380487357202,ok
kazanova.ua,+380960593020;+380508822238;+380443570103,ok
740.com.ua,+380443911804;+380675243524;+380503752607,ok
hollyskin.com.ua,+380800205000;+380667756308,ok
mobiletrend.com.ua,+380956510819;+380684163305,ok
brazil-prof.com,+380939664066;+380739664066;+380734664066,ok
cosmic.com.ua,,no_phones
geekach.com.ua,+380976105921,ok
